pmEvent Name,Event Id,Event Type,Event Description and Trigger,Message Trace Depth (UE Trace),Interface Classification,OSS protocol definition (not used by eNB). Used for grouping pmEvents into groups in the Cell traceGUI (and sent by PMS/OSS at configuration/filter for a scanner),OSS Event Groups,Pico Support (Y/N),Deprecated since
S1_KILL_RESPONSE,1079,EXTERNAL,"S1_KILL_RESPONSE sent,  3GPP 36.413","0,2,3,5",S1,EXTERNAL,,Y,
S1_LOCATION_REPORT,2064,EXTERNAL,S1_LOCATION_REPORT sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_LOCATION_REPORTING_CONTROL,2063,EXTERNAL,S1_LOCATION_REPORTING_CONTROL received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_LOCATION_REPORT_FAILURE_INDICATION,2065,EXTERNAL,S1_LOCATION_REPORT_FAILURE_INDICATION sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,N,
S1_MME_CONFIGURATION_TRANSFER,2066,EXTERNAL,"When the S1 message ""MME CONFIGURATION TRANSFER"" is received, see 3GPP TS 36.413.","0,2,3,5",S1,EXTERNAL,,Y,
S1_MME_CONFIGURATION_UPDATE,1071,EXTERNAL,S1_MME_CONFIGURATION_UPDATE received or sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_MME_CONFIGURATION_UPDATE_ACKNOWLEDGE,1072,EXTERNAL,S1_MME_CONFIGURATION_UPDATE_ACKNOWLEDGE received or sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_MME_CONFIGURATION_UPDATE_FAILURE,1073,EXTERNAL,S1_MME_CONFIGURATION_UPDATE_FAILURE received or sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_MME_CP_RELOCATION_INDICATION,1098,EXTERNAL,S1 MME CP RELOCATION INDICATION message received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,N,
S1_MME_DIRECT_INFORMATION_TRANSFER,1075,EXTERNAL,S1 message that contains RIM messages sent from eNB,"0,2,3,5",S1,EXTERNAL,,N,
S1_MME_STATUS_TRANSFER,1041,EXTERNAL,MME_STATUS_TRANSFER received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_NAS_NON_DELIVERY_INDICATION,1042,EXTERNAL,NAS_NON_DELIVERY_INDICATION sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_OVERLOAD_START,1087,EXTERNAL,S1_OVERLOAD_START  received. See 3GPP 36.413,,,EXTERNAL,,N,
S1_OVERLOAD_STOP,1088,EXTERNAL,S1_OVERLOAD_STOP  received. See 3GPP 36.413,,,EXTERNAL,,N,
S1_PAGING,1043,EXTERNAL,PAGING received. See 3GPP 36.413,2,S1,EXTERNAL,,Y,
S1_PATH_SWITCH_REQUEST,1044,EXTERNAL,S1_PATH_SWITCH_REQUEST sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_PATH_SWITCH_REQUEST_ACKNOWLEDGE,1045,EXTERNAL,S1_PATH_SWITCH_REQUEST_ACKNOWLEDGE received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_PATH_SWITCH_REQUEST_FAILURE,1046,EXTERNAL,S1_PATH_SWITCH_REQUEST_FAILURE received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_PWS_RESTART_INDICATION,1102,EXTERNAL,S1_PWS_RESTART_INDICATION sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,N,
S1_REROUTE_NAS_REQUEST,1092,EXTERNAL,S1_REROUTE_NAS_REQUEST received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,N,
S1_RESET,1047,EXTERNAL,S1_RESET received or sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_RESET_ACKNOWLEDGE,1048,EXTERNAL,S1_RESET_ACKNOWLEDGE received or sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_S1_SETUP_FAILURE,1056,EXTERNAL,S1_SETUP_FAILURE received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_S1_SETUP_REQUEST,1057,EXTERNAL,S1_SETUP_REQUEST sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_S1_SETUP_RESPONSE,1058,EXTERNAL,S1_SETUP_RESPONSE received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_SECONDARY_RAT_DATA_USAGE_REPORT,1099,EXTERNAL,The S1 SECONDARY RAT DATA USAGE REPORT message is sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,N,
S1_THROUGHPUT_ESTIMATION_REQUEST,1089,EXTERNAL,EAB S1 message THROUGHPUT ESTIMATION REQUEST was received. Sent from the MME to the eNB where the eNB retrieves the average UE throughput values of the cells identified in the EAB Covering Cell List IE.,"0,2,3,5",S1,EXTERNAL,WIFI,Y,
S1_THROUGHPUT_ESTIMATION_RESPONSE,1090,EXTERNAL,EAB S1 message THROUGHPUT ESTIMATION RESPONSE was sent. Sent if the eNB successfully completes the request of EAB S1 message THROUGHPUT ESTIMATION REQUEST.,"0,2,3,5",S1,EXTERNAL,WIFI,Y,
S1_UE_CAPABILITY_INFO_INDICATION,1059,EXTERNAL,UE_CAPABILITY_INFO_INDICATION sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_UE_CAPABILITY_INFO_INDICATION_NB,1094,EXTERNAL,UE_CAPABILITY_INFO_INDICATION_NB sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,N,17.Q4
S1_UE_CONTEXT_MODIFICATION_FAILURE,1060,EXTERNAL,UE_CONTEXT_MODIFICATION_FAILURE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_UE_CONTEXT_MODIFICATION_REQUEST,1061,EXTERNAL,UE_CONTEXT_MODIFICATION_REQUEST received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_UE_CONTEXT_MODIFICATION_RESPONSE,1062,EXTERNAL,UE_CONTEXT_MODIFICATION_RESPONSE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_UE_CONTEXT_RELEASE_COMMAND,1063,EXTERNAL,S1_UE_CONTEXT_RELEASE_COMMAND received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_UE_CONTEXT_RELEASE_COMPLETE,1064,EXTERNAL,S1_UE_CONTEXT_RELEASE_COMPLETE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_UE_CONTEXT_RELEASE_REQUEST,1065,EXTERNAL,S1_UE_CONTEXT_RELEASE_REQUEST sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_UE_CONTEXT_RESUME_FAILURE,1105,EXTERNAL,S1 UE CONTEXT RESUME FAILURE is received. See 3GPP 36.413.,"0,2,3,5",S1,EXTERNAL,,N,
S1_UE_CONTEXT_RESUME_REQUEST,1106,EXTERNAL,S1 UE CONTEXT RESUME REQUEST message sent. See 3GPP 36.413.,"0,2,3,5",S1,EXTERNAL,,N,
S1_UE_CONTEXT_RESUME_RESPONSE,1107,EXTERNAL,S1 UE CONTEXT RESUME RESPONSE is received. See 3GPP 36.413.,"0,2,3,5",S1,EXTERNAL,,N,
S1_UE_CONTEXT_SUSPEND_REQUEST,1100,EXTERNAL,S1 UE CONTEXT SUSPEND REQUEST message sent. See 3GPP 36.413.,"0,2,3,5",S1,EXTERNAL,,N,
S1_UE_CONTEXT_SUSPEND_RESPONSE,1101,EXTERNAL,S1 UE CONTEXT SUSPEND RESPONSE message received. See 3GPP 36.413.,"0,2,3,5",S1,EXTERNAL,,N,
S1_UPLINK_NAS_TRANSPORT,1067,EXTERNAL,UPLINK_NAS_TRANSPORT sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_UPLINK_NON_UE_ASSOCIATED_LPPA_TRANSPORT,1084,EXTERNAL,"When the S1 message ""UPLINK NON UE ASSOCIATED LPPA TRANSPORT"" is sent, see 3GPP TS 36.413.","0,2,3,5",S1,EXTERNAL,,N,
S1_UPLINK_S1_CDMA2000_TUNNELING,1066,EXTERNAL,UPLINK_S1_CDMA2000_TUNNELING sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_UPLINK_UE_ASSOCIATED_LPPA_TRANSPORT,1082,EXTERNAL,"When the S1 message ""UPLINK UE ASSOCIATED LPPA TRANSPORT"" is sent, see 3GPP TS 36.413.","0,2,3,5",S1,EXTERNAL,,N,
S1_WIFI_ACCESS_DECISION_REQUEST,1085,EXTERNAL,"EAB S1 message WIFI ACCESS DECISION REQUEST was received. Sent from an MME to the eNB where the UE, which is requesting access to a WiFi cell, is currently in RRC_CONNECTED state (in E-UTRA).","0,2,3,5",S1,EXTERNAL,WIFI,Y,
S1_WIFI_ACCESS_DECISION_RESPONSE,1086,EXTERNAL,EAB S1 message WIFI ACCESS DECISION RESPONSE was sent. Sent if the source eNB successfully completes the request of EAB S1 message WIFI ACCESS DECISION REQUEST.,"0,2,3,5",S1,EXTERNAL,WIFI,Y,
S1_WRITE_REPLACE_WARNING_REQUEST,1076,EXTERNAL,S1_WRITE_REPLACE_WARNING_REQUEST received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_WRITE_REPLACE_WARNING_RESPONSE,1077,EXTERNAL,S1_WRITE_REPLACE_WARNING_RESPONSE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
UE_CONTEXT_RESUME_REQUEST,1103,EXTERNAL,S1 UE CONTEXT RESUME REQUEST message sent. See 3GPP 36.413.,"0,2,3,5",S1,EXTERNAL,,N,20.Q3
UE_CONTEXT_RESUME_RESPONSE,1104,EXTERNAL,S1 UE CONTEXT RESUME RESPONSE is received. See 3GPP 36.413.,"0,2,3,5",S1,EXTERNAL,,N,20.Q3
UE_MEAS_EVENT_FEAT_NOT_AVAIL,5155,RBS,A PM Initiated UE Measurement was attempted but rejected due to that no license for this optional feature existed on the eNodeB. This event is always active thus never requires to be activated in a profile or scanner to be generated.,2,UU,PM_INITIATED_UE_MEASUREMENTS,ALWAYS_ACTIVE,N,
UE_MEAS_EVENT_NOT_CONFIG,5156,Cell,"A PM Initiated UE Measurement was attempted, but could not be performed as no configuration existed for the measurement object or report configuration. This event is always active thus never requires to be activated in a profile or scanner to be generated.",2,UU,PM_INITIATED_UE_MEASUREMENTS,ALWAYS_ACTIVE,N,
UE_MEAS_GERAN1,5269,UE,The event is triggered when the received measurements are reported from 1st measurement instance of PM Initiated IRAT GERAN measurements.,,,PM_INITIATED_UE_MEASUREMENTS,RDT,N,
UE_MEAS_GERAN2,5270,UE,The event is triggered when the received measurements are reported from 2nd measurement instance of PM Initiated IRAT GERAN measurements.,2,UU,PM_INITIATED_UE_MEASUREMENTS,,N,
UE_MEAS_INTERFREQ1,5267,UE,The event is triggered when the received measurements are reported from 1st measurement instance of PM Initiated  EUTRA inter-frequency measurements.,,,PM_INITIATED_UE_MEASUREMENTS,RDT,N,
UE_MEAS_INTERFREQ2,5268,UE,The event is triggered when the received measurements are reported from 2nd measurement instance of PM Initiated  EUTRA inter-frequency measurements.,2,UU,PM_INITIATED_UE_MEASUREMENTS,,N,
UE_MEAS_INTRAFREQ1,5153,UE,The configuration for the first configured periodic PM Initiated UE Measurement for infra frequency EUTRA measurements.,,,PM_INITIATED_UE_MEASUREMENTS,RDT,N,
UE_MEAS_INTRAFREQ2,5154,UE,The configuration for the second configured periodic PM Initiated UE Measurement for intra frequency EUTRA measurements.,2,UU,PM_INITIATED_UE_MEASUREMENTS,,N,
UE_MEAS_SEC_EVENT_FEAT_NOT_AVAIL,5325,RBS,A Security-Initiated UE Measurements was attempted but rejected due to that no license for this optional feature existed on the eNodeB. This event is always active thus never requires to be activated in a profile or scanner to be generated.,2,UU,PM_INITIATED_UE_MEASUREMENTS,ALWAYS_ACTIVE,N,
UE_MEAS_SEC_EVENT_INTERRUPT,5327,Cell,"This event is generated when Security-Initiated UE Measurements are interrupted by other measurements with higher priority (MDT, PMIUEM). This event is always active, so never requires to be activated in a profile or scanner to be generated.",2,UU,PM_INITIATED_UE_MEASUREMENTS,ALWAYS_ACTIVE,N,
UE_MEAS_SEC_EVENT_NOT_CONFIG,5324,Cell,"A Security-Initiated UE Measurements was attempted, but could not be performed as no configuration existed for the measurement object or report configuration. This event is always active thus never requires to be activated in a profile or scanner to be generated.",2,UU,PM_INITIATED_UE_MEASUREMENTS,ALWAYS_ACTIVE,N,
UE_MEAS_SEC_GERAN,5323,UE,Triggered when received measurements are reported from Security-Initiated UE Measurements feature for GERAN.,2,UU,PM_INITIATED_UE_MEASUREMENTS,,N,
UE_MEAS_SEC_INTERFREQ,5321,UE,The configuration for the Security-Initiated UE Measurements for inter frequency EUTRA measurements.,2,UU,PM_INITIATED_UE_MEASUREMENTS,,N,
UE_MEAS_SEC_INTRAFREQ,5320,UE,The configuration for the Security-Initiated UE Measurements for intra frequency EUTRA measurements.,2,UU,PM_INITIATED_UE_MEASUREMENTS,,N,
UE_MEAS_SEC_UTRAN,5322,UE,Triggered when received measurements are reported from Security-Initiated UE Measurements feature for UTRAN.,2,UU,PM_INITIATED_UE_MEASUREMENTS,,N,
UE_MEAS_UTRAN1,5271,UE,The event is triggered when the received measurements are reported from 1st measurement instance of PM Initiated IRAT UTRAN measurements.,,,PM_INITIATED_UE_MEASUREMENTS,RDT,N,
UE_MEAS_UTRAN2,5272,UE,The event is triggered when the received measurements are reported from 2nd measurement instance of PM Initiated  IRAT UTRAN measurements.,2,UU,PM_INITIATED_UE_MEASUREMENTS,,N,
X2_CELL_ACTIVATION_FAILURE,2078,EXTERNAL,X2_Cell_Activation_Failure message received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_CELL_ACTIVATION_REQUEST,2076,EXTERNAL,X2_Cell_Activation_Request message received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_CELL_ACTIVATION_RESPONSE,2077,EXTERNAL,X2_Cell_Activation_Response message received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_CONTEXT_FETCH_FAILURE,2073,EXTERNAL,A Context Fetch Failure X2 message was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_CONTEXT_FETCH_REQUEST,2071,EXTERNAL,A Context Fetch Request X2 message was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_CONTEXT_FETCH_RESPONSE,2072,EXTERNAL,A Context Fetch Response X2 message was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_CONTEXT_FETCH_RESPONSE_ACCEPT,2074,EXTERNAL,A Context Fetch Response Acknowledge X2 message was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_DATA_FORWARDING_ADDRESS_INDICATION,2117,EXTERNAL,A Data Forwarding Address Indication X2 message was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENB_CONFIGURATION_UPDATE,2053,EXTERNAL,X2_ENB_CONFIGURATION_UPDATE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_ENB_CONFIGURATION_UPDATE_ACKNOWLEDGE,2054,EXTERNAL,X2_ENB_CONFIGURATION_UPDATE_ACKNOWLEDGE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_ENB_CONFIGURATION_UPDATE_FAILURE,2055,EXTERNAL,X2_ENB_CONFIGURATION_UPDATE_FAILURE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_ENDC_CONFIGURATION_TRANSFER,2118,EXTERNAL,"When the X2 message ""EN-DC CONFIGURATION TRANSFER"" is received or sent, see 3GPP TS 36.423.","2,5",X2,EXTERNAL,,N,
X2_ENDC_CONFIGURATION_UPDATE,2100,EXTERNAL,EN-DC CONFIGURATION UPDATE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_CONFIGURATION_UPDATE_ACKNOWLEDGE,2101,EXTERNAL,EN-DC CONFIGURATION UPDATE ACKNOWLEDGE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_CONFIGURATION_UPDATE_FAILURE,2102,EXTERNAL,EN-DC CONFIGURATION UPDATE FAILURE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_PARTIAL_RESET_CONFIRM,2120,EXTERNAL,EN-DC Partial Reset Confirm sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_PARTIAL_RESET_REQUIRED,2119,EXTERNAL,EN-DC Partial Reset Required received. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_RESOURCE_STATUS_FAILURE,2123,EXTERNAL,X2 EN-DC RESOURCE STATUS FAILURE message received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_RESOURCE_STATUS_REQUEST,2121,EXTERNAL,X2 EN-DC RESOURCE STATUS REQUEST message received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_RESOURCE_STATUS_RESPONSE,2122,EXTERNAL,X2 EN-DC RESOURCE STATUS RESPONSE message received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_RESOURCE_STATUS_UPDATE,2124,EXTERNAL,X2 EN-DC RESOURCE STATUS UPDATE message received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_RRC_TRANSFER,2110,EXTERNAL,When the EN-DC X2 RRC TRANSFER  message is sent. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_SGNB_MODIFICATION_CONFIRM,2107,EXTERNAL,When the EN-DC X2 SGNB MODIFICATION CONFIRM is sent. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_SGNB_MODIFICATION_REFUSE,2108,EXTERNAL,When the EN-DC X2 SGNB MODIFICATION REFUSE is sent. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_SGNB_MODIFICATION_REQUIRED,2106,EXTERNAL,When the EN-DC X2 SGNB MODIFICATION REQUIRED is received. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_X2_SETUP_FAILURE,2099,EXTERNAL,EN-DC X2 SETUP FAILURE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_X2_SETUP_REQUEST,2097,EXTERNAL,EN-DC X2 SETUP REQUEST received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ENDC_X2_SETUP_RESPONSE,2098,EXTERNAL,EN-DC X2 SETUP RESPONSE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_ERROR_INDICATION,2052,EXTERNAL,X2_ERROR_INDICATION received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_HANDOVER_CANCEL,2057,EXTERNAL,X2_HANDOVER_CANCEL received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_HANDOVER_PREPARATION_FAILURE,2062,EXTERNAL,X2_HANDOVER_PREPARATION_FAILURE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_HANDOVER_REPORT,2070,EXTERNAL,X2 message sent when an eNB has detected a too early HO or a HO to wrong cell. The message is sent to the source eNB. (ie. Can be both received in or sent by an eNB depending on if they are the source or target),"0,2,3,5",X2,EXTERNAL,HANDOVER_EVALUATION,N,
X2_HANDOVER_REQUEST,2058,EXTERNAL,X2_HANDOVER_REQUEST received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_HANDOVER_REQUEST_ACKNOWLEDGE,2059,EXTERNAL,X2_HANDOVER_REQUEST_ACKNOWLEDGE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_PRIVATE_MESSAGE,2068,EXTERNAL,"X2 PRIVATE EXTENSION message received or sent., see TS 3GPP 36.423","0,2,3,5",X2,EXTERNAL,,Y,
X2_PROPRIETARY_CELL_SLEEP_FAILURE,2082,EXTERNAL,A EAB (Proprietary) X2 Cell Sleep Failure message was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_PROPRIETARY_CELL_SLEEP_RESPONSE,2081,EXTERNAL,A EAB (Proprietary) X2 Cell Sleep Response message was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_PROPRIETARY_CELL_SLEEP_START_REQUEST,2079,EXTERNAL,A EAB (Proprietary) X2 Cell Sleep Request message with Start indicator was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_PROPRIETARY_CELL_SLEEP_STOP_REQUEST,2080,EXTERNAL,A EAB (Proprietary) X2 Cell Sleep Request message with Stop indicator was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_PROPRIETARY_CELL_SLEEP_WAKEUP_INDICATION,2125,EXTERNAL,Event triggered at reception of X2 message CELL SLEEP WAKEUP INDICATION which is sent by capacity cell when RRC or downlink PRB load increases above or decreases below the thresholds for a specific time.,,X2,EXTERNAL,,N,
X2_RESET_REQUEST,2048,EXTERNAL,RESET_REQUEST received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_RESET_RESPONSE,2049,EXTERNAL,RESET_RESPONSE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_RESOURCE_STATUS_FAILURE,2095,EXTERNAL,X2 RESOURCE STATUS FAILURE message received or sent. See 3GPP 36.423,,,EXTERNAL,,N,
X2_RESOURCE_STATUS_REQUEST,2093,EXTERNAL,X2 RESOURCE STATUS REQUEST message received or sent. See 3GPP 36.423,,,EXTERNAL,,N,
X2_RESOURCE_STATUS_RESPONSE,2094,EXTERNAL,X2 RESOURCE STATUS RESPONSE message received or sent. See 3GPP 36.423,,,EXTERNAL,,N,
X2_RESOURCE_STATUS_UPDATE,2096,EXTERNAL,X2 RESOURCE STATUS UPDATE message received or sent. See 3GPP 36.423,,,EXTERNAL,,N,
X2_RETRIEVE_UE_CONTEXT_FAILURE,2116,EXTERNAL,A Retrieve UE Context Failure X2 message was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_RETRIEVE_UE_CONTEXT_REQUEST,2114,EXTERNAL,A Retrieve UE Context Request X2 message was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_RETRIEVE_UE_CONTEXT_RESPONSE,2115,EXTERNAL,A Retrieve UE Context Response X2 message was sent/received,"0,2,3,5",X2,EXTERNAL,,N,
X2_RLF_INDICATION,2069,EXTERNAL,X2 message sent when an UE reestablishes connection with a neighbor cell as  source cell. The message is sent to the source eNB. (ie. Can be both received in or sent by an eNB depending on if they are the source of target),"0,2,3,5",X2,EXTERNAL,HANDOVER_EVALUATION,N,
X2_SECONDARY_RAT_DATA_USAGE_REPORT,2109,EXTERNAL,The X2 SECONDARY RAT DATA USAGE REPORT message is received. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_ACTIVITY_NOTIFICATION,2088,EXTERNAL,X2_SgNB_Activity_Notification message received or sent. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_ADDITION_REQUEST,2089,EXTERNAL,SGNB ADDITION REQUEST sent. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_ADDITION_REQUEST_ACKNOWLEDGE,2090,EXTERNAL,SGNB ADDITION REQUEST ACKNOWLEDGE received. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_ADDITION_REQUEST_ATTEMPT_FAILED,2126,EXTERNAL,X2 SGNB ADDITION REQUEST message attempt failed bacause of MP overload.,,X2,EXTERNAL,,N,
X2_SGNB_ADDITION_REQUEST_REJECT,2091,EXTERNAL,SGNB ADDITION REQUEST REJECT received. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_CHANGE_CONFIRM,2112,EXTERNAL,When the X2 SGNB CHANGE CONFIRM is sent. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_CHANGE_REFUSE,2113,EXTERNAL,When the X2 SGNB CHANGE REFUSE is sent. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_CHANGE_REQUIRED,2111,EXTERNAL,When the X2 SGNB CHANGE REQUIRED is received. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_MODIFICATION_REQUEST,2103,EXTERNAL,SGNB MODIFICATION REQUEST sent. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_MODIFICATION_REQUEST_ACKNOWLEDGE,2104,EXTERNAL,SGNB MODIFICATION REQUEST ACKNOWLEDGE is received. See 3GPP 36.423.,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_MODIFICATION_REQUEST_ATTEMPT_FAILED,2127,EXTERNAL,X2 SGNB MODIFICATION REQUEST message attempt failed because of MP overload.,,X2,EXTERNAL,,N,
X2_SGNB_MODIFICATION_REQUEST_REJECT,2105,EXTERNAL,SGNB_MODIFICATION_REQUEST_REJECT is received. See 3GPP 36.243.,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_RECONFIGURATION_COMPLETE,2092,EXTERNAL,X2_SgNB_Reconfiguration_Complete message sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_RELEASE_CONFIRM,2084,EXTERNAL,X2 SGNB RELEASE CONFIRM message sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_RELEASE_REQUEST,2085,EXTERNAL,X2 SGNB RELEASE REQUEST message sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_RELEASE_REQUEST_ACKNOWLEDGE,2086,EXTERNAL,X2 SGNB RELEASE REQUEST ACKNOWLEDGE message received. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_RELEASE_REQUEST_REJECT,2087,EXTERNAL,X2 SGNB RELEASE REQUEST REJECT message received. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_SGNB_RELEASE_REQUIRED,2083,EXTERNAL,X2 SGNB RELEASE REQUIRED message received. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,N,
X2_SN_STATUS_TRANSFER,2060,EXTERNAL,SN_STATUS_TRANSFER received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_UE_CONTEXT_RELEASE,2061,EXTERNAL,UE_CONTEXT_RELEASE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_X2_SETUP_FAILURE,2056,EXTERNAL,X2_SETUP_FAILURE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_X2_SETUP_REQUEST,2050,EXTERNAL,X2_SETUP_REQUEST received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
X2_X2_SETUP_RESPONSE,2051,EXTERNAL,X2_SETUP_RESPONSE received or sent. See 3GPP 36.423,"0,2,3,5",X2,EXTERNAL,,Y,
