Event Parameter Name,ARRAY Sub-parameter Name,Parameter Description,Parameter Size,Parameter Type,Logical value,Literal value,Parameter Resolution,Parameter Unit,Deprecated Since
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_7,12.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_8,13.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_9,14.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_10,15.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_11,16.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_12,17.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_13,18.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_14,19.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_15,20.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_16,21.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_17,22.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_18,23.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_19,24.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_20,25.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_21,26.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_22,27.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_23,28.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_24,29.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_25,30.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_26,31.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_27,32.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_28,33.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_29,34.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_30,35.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_31,36.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_32,37.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_33,38.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_34,39.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_35,40.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_36,41.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_37,42.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_38,43.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_39,44.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_40,45.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_41,46.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_42,47.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_43,48.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_44,49.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_45,50.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_46,51.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_47,52.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_48,53.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_49,54.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_50,55.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_51,56.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_52,57.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_53,58.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_54,59.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_55,60.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_56,61.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_57,62.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_58,63.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_59,64.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_60,65.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_61,66.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_62,67.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_63,68.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_64,69.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_65,70.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_66,71.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_67,72.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_68,73.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_69,74.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_70,75.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_71,76.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_72,77.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_73,78.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_74,79.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_75,80.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_76,81.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_77,82.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_78,83.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_79,84.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_80,85.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_81,86.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_82,87.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_83,88.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_84,89.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_85,90.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_86,91.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_87,92.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_88,93.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_89,94.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_90,95.0,,,
EVENT_PARAM_RSCPRESULT3,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_91,96.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,,,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_MINUS_5,0.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_MINUS_4,1.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_MINUS_3,2.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_MINUS_2,3.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_MINUS_1,4.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_0,5.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_1,6.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_2,7.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_3,8.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_4,9.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_5,10.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_6,11.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_7,12.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_8,13.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_9,14.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_10,15.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_11,16.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_12,17.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_13,18.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_14,19.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_15,20.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_16,21.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_17,22.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_18,23.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_19,24.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_20,25.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_21,26.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_22,27.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_23,28.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_24,29.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_25,30.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_26,31.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_27,32.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_28,33.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_29,34.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_30,35.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_31,36.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_32,37.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_33,38.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_34,39.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_35,40.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_36,41.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_37,42.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_38,43.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_39,44.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_40,45.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_41,46.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_42,47.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_43,48.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_44,49.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_45,50.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_46,51.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_47,52.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_48,53.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_49,54.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_50,55.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_51,56.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_52,57.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_53,58.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_54,59.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_55,60.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_56,61.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_57,62.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_58,63.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_59,64.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_60,65.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_61,66.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_62,67.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_63,68.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_64,69.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_65,70.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_66,71.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_67,72.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_68,73.0,,,
EVENT_PARAM_RSCPRESULT4,,"The UTRA threshold for Received Signal Code Power, RSCP (see 3GPP TS 36.331)",1,ENUM,EVENT_VALUE_69,74.0,,,
