PmEvent Name,Event Id,Event Type,Event Description and Trigger,STANDARDIZED or PROPRIETARY,Event Groups,Message Trace Depth (UE Trace),Interface Classification (UE Trace),DeprecatedSince,ReasonForDeprecation,Periodicity (seconds),SupportedBands,SupportedDeployments,License,LimitationReason,EventStatus
CuCpX2PartialResetConfirm,3302,CUCP,X2AP PARTIAL RESET CONFIRM message. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2PartialResetRequired,3303,CUCP,X2AP PARTIAL RESET REQUIRED message. See  3GPP TS 36.423,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2RrcTransfer,3054,UE,RRCTransfer sent or received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SecondaryRatDataUsageReport,3056,UE,SECONDARY RAT DATA USAGE REPORT sent. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbActivityNotification,3002,UE,SGNB ACTIVITY NOTIFICATION sent. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbAdditionRequest,3067,UE,SGNB ADDITION REQUEST received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbAdditionRequestAcknowledge,3068,UE,SGNB ADDITION REQUEST ACKNOWLEDGE sent. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbAdditionRequestReject,3069,UE,SGNB ADDITION REQUEST REJECT sent. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbChangeConfirm,3070,UE,SGNB CHANGE CONFIRM received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbChangeRefuse,3071,UE,SGNB CHANGE REFUSE received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbChangeRequired,3072,UE,SGNB CHANGE REQUIRED sent. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbModificationConfirm,3075,UE,SGNB MODIFICATION CONFIRM received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbModificationRefuse,3076,UE,SGNB MODIFICATION REFUSE message is received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbModificationRequest,3051,UE,SGNB MODIFICATION REQUEST received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbModificationRequestAcknowledge,3049,UE,SGNB MODIFICATION REQUEST ACKNOWLEDGE sent. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbModificationRequestReject,3050,UE,SGNB MODIFICATION REQUEST REJECT sent. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbModificationRequired,3077,UE,SGNB MODIFICATION REQUIRED sent. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbReconfigurationComplete,3082,UE,SGNB RECONFIGURATION COMPLETE received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbReleaseConfirm,3083,UE,SGNB RELEASE CONFIRM received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbReleaseRequest,3084,UE,SGNB RELEASE REQUEST received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbReleaseRequestAcknowledge,3085,UE,SGNB RELEASE REQUEST ACKNOWLEDGE sent. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SgnbReleaseRequired,3086,UE,SGNB RELEASE REQUIRED sent. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2SnStatusTransfer,3087,UE,SN STATUS TRANSFER sent or received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpX2TraceStart,3107,UE,TRACE START received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,NR SA not supported.,USED
CuCpX2UeContextRelease,3088,UE,UE CONTEXT RELEASE received. See 3GPP TS 36.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpXnActivityNotification,3206,UE,XnAP ACTIVITY NOTIFICATION message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,Status Preliminary,PRELIMINARY
CuCpXnConfigurationTransfer,3271,CUCP,EAB XN CONFIGURATION TRANSFER sent or received,PROPRIETARY,EXTERNAL,,,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpXnErrorIndicationCommon,3143,CUCP,Common XnAP ERROR INDICATION message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpXnErrorIndicationDedicated,3144,UE,Dedicated XnAP ERROR INDICATION message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpXnHandoverCancel,3179,UE,XnAP HANDOVER CANCEL message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpXnHandoverPreparationFailure,3182,UE,XnAP HANDOVER PREPARATION FAILURE message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpXnHandoverRequest,3180,UE,XnAP HANDOVER REQUEST message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpXnHandoverRequestAcknowledge,3181,UE,XnAP HANDOVER REQUEST ACKNOWLEDGE message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpXnNgRanNodeConfigurationUpdate,3010,CUCP,NG-RAN NODE CONFIGURATION UPDATE sent or received. See 3GPP TS 38.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpXnNgRanNodeConfigurationUpdateAcknowledge,3008,CUCP,NG-RAN NODE CONFIGURATION UPDATE ACKNOWLEDGE sent or received. See 3GPP TS 38.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpXnNgRanNodeConfigurationUpdateFailure,3009,CUCP,NG-RAN NODE CONFIGURATION UPDATE FAILURE sent or received. See 3GPP TS 38.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpXnResetRequest,3304,CUCP,XnAP RESET REQUEST message. See 3GPP TS 38.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpXnResetResponse,3305,CUCP,XnAP RESET RESPONSE message. See 3GPP TS 38.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpXnResourceStatusFailure,3296,CUCP,Standardized PM event to observe Xn Resource Status Failure message sent or received by gNodeB.,STANDARDIZED,,,,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpXnResourceStatusRequest,3294,CUCP,Standardized PM event to observe Xn Resource Status Request message sent or received by gNodeB.,STANDARDIZED,,,,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpXnResourceStatusResponse,3293,CUCP,Standardized PM event to observe Xn Resource Status Response message sent or received by gNodeB.,STANDARDIZED,,,,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpXnResourceStatusUpdate,3295,CUCP,Standardized PM event to observe Xn Resource Status Update message sent or received by gNodeB.,STANDARDIZED,,,,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpXnResourceStatusUpdateFail,3381,CUCP,Abnormal XnAP RESOURCE STATUS UPDATE message is received by gNodeB.,PROPRIETARY,,,,,,,"Low-band, Mid-band",NR SA,,Status Preliminary,PRELIMINARY
CuCpXnRetrieveUeContextFailure,3238,UE,Used for NR Standalone to monitor XnAP RETRIEVE UE CONTEXT FAILURE message. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpXnRetrieveUeContextRequest,3234,UE,Used for NR Standalone to monitor XnAP RETRIEVE UE CONTEXT REQUEST message. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpXnRetrieveUeContextResponse,3235,UE,Used for NR Standalone to monitor XnAP RETRIEVE UE CONTEXT RESPONSE message. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpXnRrcTransfer,3267,UE,XnAP RRC TRANSFER message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeAdditionRequest,3183,UE,XnAP S-NODE ADDITION REQUEST message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeAdditionRequestAcknowledge,3184,UE,XnAP S-NODE ADDITION REQUEST ACKNOWLEDGE message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeAdditionRequestReject,3185,UE,XnAP S-NODE ADDITION REQUEST REJECT message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeChangeConfirm,3264,UE,XnAP S-NODE CHANGE CONFIRM message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeChangeRefuse,3265,UE,XnAP S-NODE CHANGE REFUSE message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeChangeRequired,3262,UE,XnAP S-NODE CHANGE REQUIRED message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeModificationConfirm,3243,UE,XnAP S-NODE MODIFICATION CONFIRM message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeModificationRefuse,3244,UE,XnAP S-NODE MODIFICATION REFUSE message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeModificationRequest,3239,UE,XnAP S-NODE MODIFICATION REQUEST message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeModificationRequestAcknowledge,3240,UE,XnAP S-NODE MODIFICATION REQUEST ACKNOWLEDGE message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeModificationRequestReject,3241,UE,XnAP S-NODE MODIFICATION REQUEST REJECT message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeModificationRequired,3242,UE,XnAP S-NODE MODIFICATION REQUIRED message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeReconfigurationComplete,3186,UE,XnAP S-NODE RECONFIGURATION COMPLETE message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeReleaseConfirm,3187,UE,XnAP S-NODE RELEASE CONFIRM message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeReleaseReject,3188,UE,XnAP S-NODE RELEASE REJECT message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeReleaseRequest,3189,UE,XnAP S-NODE RELEASE REQUEST message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeReleaseRequestAcknowledge,3190,UE,XnAP S-NODE RELEASE REQUEST ACKNOWLEDGE message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSNodeReleaseRequired,3191,UE,XnAP S-NODE RELEASE REQUIRED message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpXnSetupFailure,3011,CUCP,XN SETUP FAILURE sent. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band","EN-DC, NR SA, CR NR SA",,,USED
CuCpXnSetupRequest,3012,CUCP,XN SETUP REQUEST sent. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band","EN-DC, NR SA, CR NR SA",,,USED
CuCpXnSetupResponse,3013,CUCP,XN SETUP RESPONSE sent. See 3GPP TS 36.423.,STANDARDIZED,,,,,,,"Low-band, Mid-band","EN-DC, NR SA, CR NR SA",,,USED
CuCpXnSnStatusTransfer,3192,UE,XnAP SN STATUS TRANSFER message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpXnUeContextRelease,3193,UE,XnAP UE CONTEXT RELEASE message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpXnXnuAddressIndication,3194,UE,XnAP Xn-U ADDRESS INDICATION message sent or received. See 3GPP TS 38.423.,STANDARDIZED,,"0,2,3,5",X2_XN,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuUpBbDataCollectionLost,4002,CUUP,Missed or incomplete measurements sampled at Baseband application during ROP for a specific level.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuUpDrbRelease,4016,UE,Triggered at DRB release when Robust Header Compression is configured.,PROPRIETARY,,2,E1,,,,"Low-band, Mid-band",NR SA,,,USED
CuUpE1Reset,4014,CUUP,RESET message. See 3GPP TS 38.463,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",NR SA,,Not supported in HB SA,USED
CuUpE1ResetAcknowledge,4015,CUUP,RESET ACKNOWLEDGE message. See 3GPP TS 38.463,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",NR SA,,Not supported in HB SA,USED
CuUpGtpuEchoPathStatus,4017,CUUP,"Signals GTP-U path unreachability or recovery on X2 or Xn interface.
Generated when GTP-U path failure or GTP-U path recovery is detected by GTP-U Supervision feature.
",PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Not supported in HB SA,USED
CuUpPerDrbSetup,4009,CUUP,Number of DRBs set up in PpControlLink.,PROPRIETARY,CCTR,,,,,1,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuUpPerNfTrafficRep,4003,CUUP,CUUP specific traffic measurements.,PROPRIETARY,CCTR,,,,,1,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Not supported in HB SA,USED
CuUpPerPduSession,4010,CUUP,Periodic event for monitoring number of PDU session in PpControlLink.,PROPRIETARY,CCTR,,,,,1,"Low-band, Mid-band, High-band",NR SA,,,USED
CuUpPerUeRbCgTrafficRep,4008,UE,"Periodic measurement of traffic on following interfaces:
- X2U (EN-DC traffic to or from MCG, measured in Secondary Node).
- XnU (NR-DC traffic to or from MCG, measured in Secondary Node).
- F1U (EN-DC and NR-DC traffic to or from SCG, measured in Secondary Node. NR standalone traffic, without dual connectivity configured, is measured in Master Node).
",PROPRIETARY,CCTR,2,E1,,,1,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuUpPerUeRbCgTrafficRepAggr10,4012,UE,"Time-aggregated periodic measurements of traffic on following interfaces:
- X2U (EN-DC traffic to or from MCG, measured in Secondary Node).
- XnU (NR-DC traffic to or from MCG, measured in Secondary Node).
- F1U (EN-DC and NR-DC traffic to or from SCG, measured in Secondary Node. NR standalone traffic, without dual connectivity configured, is measured in Master Node).
Time interval is 10 seconds.
",PROPRIETARY,,,,,,10,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuUpPerUeRbS1NgTrafficRep,4004,UE,S1 and NG user plane traffic measurements.,PROPRIETARY,CCTR,"0,1,2",NG,,,1,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Not verified for EN-DC,USED
CuUpPerUeRbS1NgTrafficRepAggr10,4013,UE,Time-aggregated periodic measurements of S1 and NG user plane traffic. Time interval is 10 s.,PROPRIETARY,,,,,,10,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Not verified for EN-DC,USED
CuUpPerUeRbX2XnTermTrafficRep,4006,UE,Packet forwarding over X2-U or XN-U.,PROPRIETARY,,"0,1,2",X2_XN,,,1,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Not verified for NR SA,USED
CuUpPerUeRbX2XnTrafficRep,4005,UE,Packets forwarded on X2-U or XN-U.,PROPRIETARY,,"0,1,2",X2_XN,,,1,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Not verified for NR SA,USED
CuUpProcEndcNrUlPrimaryCgSwitch,4007,UE,Switching of UL primary Cell Group (CG) radio resources.,PROPRIETARY,,"0,1,2",E1,,,,"Low-band, Mid-band, High-band",EN-DC,,,USED
CuUpProcSnNrdcUlPrimaryCgSwitch,4011,UE,Used for NR-DC switching of Uplink MCG and SCG Radio Resources of Secondary Node Terminated Split DRB procedure.,PROPRIETARY,,"0,1,2",E1,,,,High-band,NR SA,"LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",Not supported in HB SA,USED
DuBbDataCollectionLost,2007,DU,Missed or incomplete measurements sampled at Baseband application during ROP for a specific level.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
DuCellLockUnlock,2049,NRCELL,Information on gNodeB-DU being down.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
DuF1ConnRelease,2050,DU,Release of F1 connection to CUCP.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not supported in HB SA,USED
DuF1DeactivateTrace,2015,UE,Monitors DEACTIVATE TRACE message.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Not supported in HB SA,USED
DuF1EabMeasurementFailureIndication,2077,UE,EAB MEASUREMENT FAILURE INDICATION message sent.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
DuF1EabMeasurementInitiationFailure,2074,UE,EAB MEASUREMENT INITIATION FAILURE message sent.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
DuF1EabMeasurementInitiationRequest,2072,UE,EAB MEASUREMENT INITIATION REQUEST message received.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
DuF1EabMeasurementInitiationResponse,2073,UE,EAB MEASUREMENT INITIATION RESPONSE message sent.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
DuF1EabMeasurementReport,2078,UE,EAB MEASUREMENT REPORT message sent.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
DuF1EabMeasurementTerminationRequest,2075,UE,EAB MEASUREMENT TERMINATION REQUEST message received.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
DuF1EabMeasurementTerminationResponse,2076,UE,EAB MEASUREMENT TERMINATION RESPONSE message sent.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
DuF1EabPimDetectionReport,2094,DU,EAB PIM DETECTION REPORT message received.,PROPRIETARY,EXTERNAL,,,,,,Low-band,"EN-DC, NR SA",,,USED
DuF1EabUacBarringInformationControl,2095,DU,Monitors UAC Barring Information Control procedure in DU and reception of EAB UAC BARRING INFORMATION CONTROL message from CU.,PROPRIETARY,EXTERNAL,,,,,,"Low-band, Mid-band, High-band",NR SA,,Not supported in HB SA,USED
DuF1EabUacBarringInformationFeedback,2096,DU,Monitors UAC Barring Information Feedback procedure in DU and if EAB UAC BARRING INFORMATION FEEDBACK message is sent to CU.,PROPRIETARY,EXTERNAL,,,,,,"Low-band, Mid-band, High-band",NR SA,,Not supported in HB SA,USED
DuF1EabUeOffloadIndication,2092,UE,EAB UE OFFLOAD INDICATION message sent.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,Mid-band,NR SA,"LicenseKeyId: CXC4012635, LicenseMoId: NrRemoteInterferenceManagement, LicenseName: NR Remote Interference Management",,USED
DuF1EabUeOffloadRequest,2089,UE,EAB UE OFFLOAD REQUEST message sent.,PROPRIETARY,EXTERNAL,"0,1,2",F1,23.Q3,Planned to be removed. Replaced by DuF1EabUeOffloadIndication.,,"Low-band, Mid-band",NR SA,"LicenseKeyId: CXC4012635, LicenseMoId: NrRemoteInterferenceManagement, LicenseName: NR Remote Interference Management",Deprecated and Obsolete.,DEPRECATED
DuF1EabUeUlQualityMeasurementEvent,2104,UE,EAB UE UL QUALITY MEASUREMENT EVENT message sent.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
DuF1GnbCuConfigurationUpdate,2026,DU,GNB CU CONFIGURATION UPDATE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED
DuF1GnbCuConfigurationUpdateAcknowledge,2024,DU,GNB CU CONFIGURATION UPDATE ACKNOWLEDGE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED
